account_id,account_name,plan_tier,industry,country,seats,total_mrr,avg_mrr,risk_level,risk_score,churn_probability,priority_action,usage_events,total_errors,support_tickets,avg_satisfaction,escalations,sla_breaches,primary_action,secondary_action,offer,key_risk_factor,success_metric
A-dbc825,Company_252,ENTERPRISE,EdTech,FR,19,42404,2650.25,MEDIUM,3,27.3,ACT THIS MONTH,72,58,6,4.0,1,2,Offer executive business review — highlight ROI and strategic roadmap alignment,Schedule quarterly business review and present detailed ROI report,Custom SLA agreement + 10% discount on next annual renewal,High error count suggests product integration or technical failure,Customer renews subscription before end of current billing cycle
A-a45270,Company_37,ENTERPRISE,HealthTech,US,3,20131,1677.58,MEDIUM,3,27.3,ACT THIS MONTH,71,53,4,4.0,0,2,Offer executive business review — highlight ROI and strategic roadmap alignment,Schedule quarterly business review and present detailed ROI report,Custom SLA agreement + 10% discount on next annual renewal,High error count suggests product integration or technical failure,Customer renews subscription before end of current billing cycle
A-a0ca4e,Company_6,PRO,Cybersecurity,US,11,16633,1848.11,MEDIUM,3,27.3,ACT TODAY,39,14,6,3.83,3,2,Escalate all open tickets to VP Support — resolve every issue within 24 hours,Invite to power-user webinar and introduce premium feature training,2 months free + dedicated technical account manager for 90 days,Repeated escalations indicate unresolved critical issues damaging trust,Zero new escalations for 60 consecutive days
A-d4ac0e,Company_364,BASIC,DevTools,UK,18,27557,1450.37,MEDIUM,2,18.2,ACT THIS MONTH,80,53,4,3.75,0,1,Offer executive business review — highlight ROI and strategic roadmap alignment,Share success stories from similar companies in same industry,Free upgrade to PRO for 3 months to demonstrate advanced platform value,High error count suggests product integration or technical failure,Customer renews subscription before end of current billing cycle
A-6da850,Company_293,PRO,FinTech,IN,5,18559,1159.94,MEDIUM,2,18.2,ACT THIS MONTH,70,54,5,4.0,0,0,Offer executive business review — highlight ROI and strategic roadmap alignment,Invite to power-user webinar and introduce premium feature training,15% loyalty discount on annual renewal if committed within 30 days,High error count suggests product integration or technical failure,Customer renews subscription before end of current billing cycle
A-5a92e7,Company_413,PRO,HealthTech,US,4,12671,666.89,MEDIUM,2,18.2,ACT THIS MONTH,85,76,7,4.29,0,1,Offer executive business review — highlight ROI and strategic roadmap alignment,Invite to power-user webinar and introduce premium feature training,15% loyalty discount on annual renewal if committed within 30 days,High error count suggests product integration or technical failure,Customer renews subscription before end of current billing cycle
A-5a215a,Company_358,ENTERPRISE,EdTech,FR,87,130152,7230.67,MEDIUM,2,18.2,ACT THIS MONTH,80,71,4,4.0,0,0,Offer executive business review — highlight ROI and strategic roadmap alignment,Schedule quarterly business review and present detailed ROI report,Custom SLA agreement + 10% discount on next annual renewal,High error count suggests product integration or technical failure,Customer renews subscription before end of current billing cycle
A-94f8c9,Company_51,BASIC,HealthTech,US,13,31989,1999.31,MEDIUM,2,18.2,ACT THIS MONTH,77,63,3,4.67,0,0,Offer executive business review — highlight ROI and strategic roadmap alignment,Share success stories from similar companies in same industry,Free upgrade to PRO for 3 months to demonstrate advanced platform value,High error count suggests product integration or technical failure,Customer renews subscription before end of current billing cycle
A-92a3af,Company_259,ENTERPRISE,Cybersecurity,IN,25,34538,3139.82,MEDIUM,2,18.2,ACT THIS MONTH,67,55,4,4.0,1,1,Offer executive business review — highlight ROI and strategic roadmap alignment,Schedule quarterly business review and present detailed ROI report,Custom SLA agreement + 10% discount on next annual renewal,High error count suggests product integration or technical failure,Customer renews subscription before end of current billing cycle
A-054577,Company_455,BASIC,EdTech,UK,2,44601,2787.56,MEDIUM,2,18.2,ACT THIS MONTH,85,52,1,4.0,0,0,Offer executive business review — highlight ROI and strategic roadmap alignment,Share success stories from similar companies in same industry,Free upgrade to PRO for 3 months to demonstrate advanced platform value,High error count suggests product integration or technical failure,Customer renews subscription before end of current billing cycle
A-6f8ad2,Company_57,BASIC,EdTech,IN,1,25928,1525.18,MEDIUM,2,18.2,ACT THIS MONTH,88,59,4,4.25,0,0,Offer executive business review — highlight ROI and strategic roadmap alignment,Share success stories from similar companies in same industry,Free upgrade to PRO for 3 months to demonstrate advanced platform value,High error count suggests product integration or technical failure,Customer renews subscription before end of current billing cycle
A-5b1bcd,Company_166,PRO,DevTools,US,73,133298,8886.53,MEDIUM,2,18.2,ACT THIS MONTH,86,54,4,4.25,0,0,Offer executive business review — highlight ROI and strategic roadmap alignment,Invite to power-user webinar and introduce premium feature training,15% loyalty discount on annual renewal if committed within 30 days,High error count suggests product integration or technical failure,Customer renews subscription before end of current billing cycle
A-9174e0,Company_73,BASIC,Cybersecurity,US,37,53976,3598.4,MEDIUM,2,18.2,ACT THIS MONTH,69,61,2,4.5,0,0,Offer executive business review — highlight ROI and strategic roadmap alignment,Share success stories from similar companies in same industry,Free upgrade to PRO for 3 months to demonstrate advanced platform value,High error count suggests product integration or technical failure,Customer renews subscription before end of current billing cycle
A-b9eed8,Company_189,BASIC,Cybersecurity,US,11,16577,1507.0,MEDIUM,2,18.2,ACT THIS MONTH,61,55,5,3.8,1,0,Offer executive business review — highlight ROI and strategic roadmap alignment,Share success stories from similar companies in same industry,Free upgrade to PRO for 3 months to demonstrate advanced platform value,High error count suggests product integration or technical failure,Customer renews subscription before end of current billing cycle
A-ffc04f,Company_307,PRO,EdTech,US,13,20039,1335.93,MEDIUM,2,18.2,ACT THIS MONTH,86,64,7,4.29,1,1,Offer executive business review — highlight ROI and strategic roadmap alignment,Invite to power-user webinar and introduce premium feature training,15% loyalty discount on annual renewal if committed within 30 days,High error count suggests product integration or technical failure,Customer renews subscription before end of current billing cycle
A-9f9299,Company_133,ENTERPRISE,FinTech,US,28,42403,2826.87,MEDIUM,2,18.2,ACT THIS MONTH,85,54,5,4.2,0,0,Offer executive business review — highlight ROI and strategic roadmap alignment,Schedule quarterly business review and present detailed ROI report,Custom SLA agreement + 10% discount on next annual renewal,High error count suggests product integration or technical failure,Customer renews subscription before end of current billing cycle
A-f25509,Company_92,ENTERPRISE,EdTech,US,32,16122,3224.4,LOW,1,9.1,MONITOR,23,15,6,4.33,0,2,Offer executive business review — highlight ROI and strategic roadmap alignment,Schedule quarterly business review and present detailed ROI report,Custom SLA agreement + 10% discount on next annual renewal,Moderate risk — monitor closely for any further decline in engagement,Customer renews subscription before end of current billing cycle
A-67be94,Company_276,ENTERPRISE,EdTech,US,26,21930,3132.86,LOW,1,9.1,MONITOR,42,17,5,4.0,0,3,Offer executive business review — highlight ROI and strategic roadmap alignment,Schedule quarterly business review and present detailed ROI report,Custom SLA agreement + 10% discount on next annual renewal,Moderate risk — monitor closely for any further decline in engagement,Customer renews subscription before end of current billing cycle
A-f97b9a,Company_159,PRO,FinTech,US,16,23833,2166.64,LOW,1,9.1,MONITOR,56,33,7,3.86,0,2,Offer executive business review — highlight ROI and strategic roadmap alignment,Invite to power-user webinar and introduce premium feature training,15% loyalty discount on annual renewal if committed within 30 days,Moderate risk — monitor closely for any further decline in engagement,Customer renews subscription before end of current billing cycle
A-17939a,Company_162,BASIC,HealthTech,US,1,9669,879.0,LOW,1,9.1,MONITOR,47,43,7,4.29,0,2,Offer executive business review — highlight ROI and strategic roadmap alignment,Share success stories from similar companies in same industry,Free upgrade to PRO for 3 months to demonstrate advanced platform value,Moderate risk — monitor closely for any further decline in engagement,Customer renews subscription before end of current billing cycle
A-1b9609,Company_5,ENTERPRISE,EdTech,IN,4,16810,1528.18,LOW,1,9.1,MONITOR,47,21,4,3.75,0,2,Offer executive business review — highlight ROI and strategic roadmap alignment,Schedule quarterly business review and present detailed ROI report,Custom SLA agreement + 10% discount on next annual renewal,Moderate risk — monitor closely for any further decline in engagement,Customer renews subscription before end of current billing cycle
A-671f31,Company_137,BASIC,DevTools,US,59,30385,5064.17,LOW,1,9.1,MONITOR,17,16,7,4.14,0,2,Offer executive business review — highlight ROI and strategic roadmap alignment,Share success stories from similar companies in same industry,Free upgrade to PRO for 3 months to demonstrate advanced platform value,Moderate risk — monitor closely for any further decline in engagement,Customer renews subscription before end of current billing cycle
A-4437e4,Company_192,ENTERPRISE,Cybersecurity,US,3,17831,1114.44,LOW,1,9.1,MONITOR,83,43,6,3.67,2,2,Escalate all open tickets to VP Support — resolve every issue within 24 hours,Schedule quarterly business review and present detailed ROI report,Custom SLA agreement + 10% discount on next annual renewal,Repeated escalations indicate unresolved critical issues damaging trust,Zero new escalations for 60 consecutive days
A-44dc83,Company_35,BASIC,EdTech,FR,5,456,114.0,LOW,1,9.1,MONITOR,24,13,7,4.43,0,3,Send personalised check-in email with industry-specific product tips,Share success stories from similar companies in same industry,Free upgrade to PRO for 3 months to demonstrate advanced platform value,Moderate risk — monitor closely for any further decline in engagement,Customer renews subscription before end of current billing cycle
